Prompt,Response
What qualities are highlighted in Kalyani’s father’s character?,Self-respect and moral integrity
Why was Anupam silent during the jewelry inspection?,Because he had no authority in the matter
অনুপম কেন বিয়ের আসরে প্রতিবাদ করেনি?,কারণ সে ব্যক্তিত্বহীন ও মামার উপর নির্ভরশীল ছিল
What quality of Kalyani’s father is highlighted in the story?,"Self-respect, the capability to make firm decisions, and the ripple effect of these traits on the family’s collective personality"
গল্পে পণপ্রথার কী কুপ্রভাব দেখানো হয়েছে?,পৃথিবীর মধ্যে এক মেয়ের জীবনে স
Why did Anupam’s uncle bring a jeweler to the wedding?,To portray himself as extremely selfish and to justify his actions
What did Anupam’s uncle plan to do after the wedding was canceled?,File a lawsuit for breach of contract and defamation
What was the background of Anupam's mother?,She came from a poor family
অনুপমের জীবনে কল্যাণীর কী ভূমিকা ছিল?,�
How did Anupam free himself from his uncle’s control?,Because it lacked genuine remorse and acknowledgment of his
অনুপমের মামা কেন সেকরাকে সঙ্গে নিয়েছিলেন?,গহনার খাঁটিত্ব যাচাই করার জন্য
How is the degradation of humanity shown in the story?,As seen in the weak and helpless nature of the groom’s party
অনুপমের মামা কেন বিয়েবাড়িতে অসন্তুষ্ট ছিলেন?,মাথা ন
তৎকালীন সমাজে ভদ্রলোকের স্বভাব কেমন ছিল?,যৌতুকলোভী ও হীন মানসিকতাসম্পন্ন
অনুপম কেন নিজের জীবনকে গুটির সঙ্গে তুলনা করেছেন?,কারণ তার জীবন ফলের মতো পূর্ণতা পায়নি
Why did Anupam consider himself a good groom?,কারণ তিনি কল্যাণীর কাছে অপমানজনক ও তার আতিথেয়তার ওপর নির্ভরশীল ছিলেন
অনুপম কেন নিজেকে অপরিচিতার প্রতি আকৃষ্ট মনে করেছেন?,কারণ তার হৃদয় কল্যাণীর প্রতি ছুটে গিয়েছিল
Why did Anupam compare his life to a flower?,Because Kalyani’s influence created a history in his life
What was the financial condition of Shumbhunath’s family?,It underscores the
শুম্ভুনাথবাবু বরযাত্রীদের খাওয়ানোর পর কী বলেছিলেন?,আপনাদের কষ্ট বাড়াইতে ইচ্ছা করি না
What did Shumbhunath say after feeding the groom’s party?,I don’t wish to trouble you further
শুম্ভুনাথবাবু কেন অনুপমকে খাওয়ার জন্য ডেকেছিলেন?,বরযাত্রীদের খাওয়ানোর পর তাকে সম্মান দেখানোর জন্য
অনুপম কেন কল্যাণীর বাবার কাছে অপমানিত বোধ করেছিলেন?,কারণ বিয়ে ভেঙে দেওয়া হয়েছিল
